Firename_year,Year,Region,Ranger_unit,FIRE_NAME,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Firefighter_fatalities,Damaged_structures,Civilian_fatalities,Incident_number,Ranger_unit2,National_forest,County,County2,County3,DPA2,Fire_name2
SHOOTING_1997,1997,South,San Bernardino,SHOOTING,5/1/97,5/2/97,USFS,NA,4500,B,Shooting,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
STATE (JACKRABBIT)_1997,1997,South,Riverside,STATE (JACKRABBIT),9/24/97,9/25/97,CDF,2500,NA,B,Smoking,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
ASSIST 84 (MILITARY AFV)_1997,1997,South,San Luis Obispo,ASSIST 84 (MILITARY AFV),9/27/97,9/27/97,MIL,NA,1620,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
METZ #4_1997,1997,Sierra,San Benito-Monterey,METZ #4,5/18/97,5/18/97,CDF,1900,NA,G,Undetermined,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
COPPERHEAD_1997,1997,Sierra,San Benito-Monterey,COPPERHEAD,6/11/97,6/12/97,CDF,1400,NA,GWB,Escape,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
CORREIA_1997,1997,Sierra,Madera-Mariposa,CORREIA,11/7/97,11/7/97,LOCAL,NA,2000,NA,Equipment Use,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
FERNANDEZ_1997,1997,Sierra,Tulare,FERNANDEZ,10/24/97,10/25/97,LOCAL,NA,43700,AP,Misc,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
MANTON_1998,1998,Coast,Tehama-Glenn,MANTON,8/1/98,8/2/98,CDF,2100,NA,W,Vehicle,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
CHARIOT_1998,1998,Coast,San Diego,CHARIOT,7/1/98,7/2/98,CDF,2100,NA,BG,Escape,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
ASSIST_1998,1998,Coast,Inyo National Forest,ASSIST,8/29/98,9/1/98,USFS,NA,3410,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
WILDCAT_1998,1998,Coast,San Diego,WILDCAT,8/31/98,9/3/98,CDF,3200,NA,BG,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
SANTIAGO_1998,1998,Coast,Riverside (Orange County),SANTIAGO,8/31/98,9/4/98,CC,NA,8900,BG,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
CAJALCO FIRE_1998,1998,Coast,Riverside,CAJALCO FIRE,8/31/98,8/31/98,CDF,2000,NA,T,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
DELUZ_1998,1998,Coast,San Diego (Camp Pendleton),DELUZ,8/31/98,9/2/98,CDF,1830,NA,NA,Weapons,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
EMERY_1998,1998,Coast,San Diego,EMERY,11/4/98,11/5/98,CDF,350,NA,BG,Debris,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
WORDEN_1998,1998,Sierra,Madera-Mariposa-Merced,WORDEN,7/11/98,7/11/98,LOCAL,NA,300,T,Escape,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
STONEWALL_1998,1998,Sierra,San Benito-Monterey,STONEWALL,8/3/98,8/7/98,CDF/NPS,930,1870,B,Powerlines,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
SWIFT_1998,1998,Sierra,Madera-Mariposa-Merced,SWIFT,8/6/98,8/6/98,LOCAL,NA,350,B,Undetermined,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
PG&E 39_1998,1998,Sierra,Madera-Mariposa-Merced,PG&E 39,10/9/98,10/9/98,LOCAL,NA,1500,G,Electrical power,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
SPRING #5 (SUGARLOAF)_1999,1999,Coast,Shasta-Trinity,SPRING #5 (SUGARLOAF),8/23/99,8/30/99,CDF,807,NA,TB,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
MUSTY #1_1999,1999,Coast,Butte,MUSTY #1,8/23/99,8/26/99,CDF,500,NA,GB,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
MUSTY #2_1999,1999,Coast,Butte,MUSTY #2,8/23/99,8/25/99,CDF,500,NA,TB,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
BIG BAR COMPLEX_1999,1999,Coast,Shasta-Trinity NF,BIG BAR COMPLEX,8/23/99,11/3/99,USFS,NA,140948,NA,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
SYCAMORE #2_1999,1999,Coast,Butte,SYCAMORE #2,8/23/99,8/26/99,CDF,2005,NA,GB,Lightning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
LACY_1999,1999,South,San Bernardino,LACY,2/25/99,2/27/99,CDF,1000,NA,GB,Control Burn,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
BORDER #95_1999,1999,South,San Diego,BORDER #95,10/8/99,10/9/99,CDF/BLM,1000,NA,B,Campfire,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
ANDREWS_1999,1999,South,Madera-Mariposa-Merced,ANDREWS,1/9/99,1/9/99,LOCAL,NA,5000,AP,Vehicle,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
ROADSIDE 9323_1999,1999,South,Madera-Mariposa-Merced,ROADSIDE 9323,7/8/99,7/8/99,LOCAL,NA,2400,AP,Arson,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
NORTHFORD_2000,2000,Sierra,San Benito,NORTHFORD,8/3/00,8/7/00,CDF,1773,NA,GB,Equipment use,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
LATROBE_2000,2000,Sierra,El Dorado,LATROBE,10/21/00,10/21/00,CDF,750,NA,G,Electrical power,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
OROSCO_2001,2001,South,Cleveland NF/MVU,OROSCO,8/14/01,8/15/01,CDF/USFS,20,793,B,Under investigation,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
CAJALCO FIRE_2002,2002,South,Riverside,CAJALCO FIRE,3/17/02,3/17/02,CDF,575,NA,B,Equipment use,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
AIRPORT_2002,2002,South,San Bernardino,AIRPORT,3/22/02,3/24/02,CDF,846,NA,GWB,Misc,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
NICHOLAS_2002,2002,Sierra,Madera-Mariposa-Merced,NICHOLAS,3/16/02,3/16/02,LOCAL,NA,12000,A,Debris Burning,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
"CONTROL BURN, GEYSERS_2008",2008,NA,NA,"CONTROL BURN, GEYSERS",2/13/08,2/13/08,LOCAL,NA,400,G,Debris,0,0,0,0,LNU-1057,NA,NA,Lake,NA,NA,NA,NA
WAWONA NW_2008,2008,NA,NA,WAWONA NW,4/9/08,4/19/08,NPS,NA,1130,TB,Human,0,0,0,0,YNP-764,NA,NA,Mariposa,NA,NA,USFS,NA
JACKSON_2008,2008,NA,NA,JACKSON,6/10/08,6/12/08,LOCAL,NA,6400,NA,Undetermined,0,0,0,0,AEU-10884,NA,NA,Sacramento,NA,NA,NA,NA
SRF LIGHTNING COMPLEX_2008,2008,NA,NA,SRF LIGHTNING COMPLEX,6/20/08,NA,USFS,NA,900,T,Lightning,0,0,0,0,SRF-1036,NA,NA,Humboldt,Trinity,Siskiyou,NA,NA
MAD COMPLEX_2008,2008,NA,NA,MAD COMPLEX,6/20/08,7/21/08,USFS,NA,3705,TBG,Lightning,0,0,0,0,SRF-1120,NA,NA,Humboldt,Trinity,NA,NA,NA
UKONOM-SOUTH COMPLEX_2008,2008,NA,NA,UKONOM-SOUTH COMPLEX,6/20/08,9/15/08,USFS,NA,29327,T,Lightning,0,0,0,0,SRF-1126,NA,NA,Humboldt,NA,NA,NA,NA
