Firename_year,Fire_year_month,Fire_year,Region,Ranger_unit,Ranger_unit2,FIRE_NAME,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Incident_number,National_forest,County,County2,County3,Fire_name2,DPA2,Damaged_structures,Firefighter_fatalities,Civilian_fatalities,Start_month
BACKBONE_1985,BACKBONE_1985_6,1985,IV,Fresno-Kings,NA,BACKBONE,1985-06-10,1985-07-13,CDF,425,NA,BG,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
LOS GATOS SERIES_1985,LOS GATOS SERIES_1985_7,1985,IV,Fresno-Kings,NA,LOS GATOS SERIES,1985-07-06,1985-07-17,CDF,27562,NA,WBG,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
SYCAMORE_1985,SYCAMORE_1985_7,1985,IV,Fresno-Kings,NA,SYCAMORE,1985-07-15,1985-08-08,CDF,415,997,WBG,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
STAN. #7_1985,STAN. #7_1985_8,1985,IV,Madera-Mariposa,NA,STAN. #7,1985-08-02,1985-08-12,USFS,NA,1019,BG,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
FALLS #2_1985,FALLS #2_1985_8,1985,IV,Madera-Mariposa,NA,FALLS #2,1985-08-12,1985-06-30,CDF,3000,NA,G,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8
USFS #5_1985,USFS #5_1985_6,1985,IV,Tulare,NA,USFS #5,1985-06-28,1985-07-04,USFS,NA,8100,BG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6
GRIZZLY_1985,GRIZZLY_1985_7,1985,IV,Tuolumne-Calaveras,NA,GRIZZLY,1985-07-03,1985-07-04,CDF,530,NA,WBG,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
GANN_1985,GANN_1985_7,1985,IV,Tuolumne-Calaveras,NA,GANN,1985-07-04,1985-07-04,CDF,915,NA,WBG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
LOWES_1985,LOWES_1985_7,1985,V,San Benito-Monterey,NA,LOWES,1985-07-02,1985-07-04,CDF,2670,NA,WBGA,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
SECO_1985,SECO_1985_7,1985,V,San Benito-Monterey,NA,SECO,1985-07-02,1985-07-05,CDF,875,1070,WBG,Arson,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
LIGHTNING SERIES_1985,LIGHTNING SERIES_1985_7,1985,V,San Benito-Monterey,NA,LIGHTNING SERIES,1985-07-06,1985-07-09,CDF,9534,NA,WBG,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7
