Fire_name_year,Year,Region,Ranger_unit,Ranger_unit2,FIRE_NAME,Start,Contained,DPA,CDF_acres_burned,Other_acres_burned,Veg_type,Cause,Destroyed_structures,Incident_number,National_forest,County,County2,County3,Fire_name2,DPA2,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
USFS ASSIST #10_1986,1986,II,Nevada-Yuba-Placer,NA,USFS ASSIST #10,0011-03-19,0011-04-19,USFS,NA,400,T,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TAMARACK_1986,1986,II,Shasta-Trinity,NA,TAMARACK,NA,NA,CDF,450,NA,T,Smoking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COLORADO #2_1986,1986,III,Riverside,NA,COLORADO #2,NA,NA,BIA,1800,NA,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GALVIN_1986,1986,III,Riverside,NA,GALVIN,NA,NA,CDF,602,NA,B,Campfire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WILMONT_1986,1986,III,Riverside,NA,WILMONT,NA,NA,CDF,1425,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
POWERLINE_1986,1986,III,Riverside,NA,POWERLINE,NA,NA,LOCAL,NA,400,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SCOUT_1986,1986,III,San Bernardino,NA,SCOUT,NA,NA,CDF,900,NA,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TECOLATE_1986,1986,III,Angeles NF,NA,TECOLATE,NA,NA,USFS,NA,3900,BG,Campfire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRADLEY_1986,1986,III,Ventura County,NA,BRADLEY,0011-10-19,0011-11-19,CC,NA,9027,WBG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INSCRIPTION_1986,1986,III,San Bernardino,NA,INSCRIPTION,NA,NA,LOCAL,NA,4100,NA,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
INTAKE_1986,1986,III,San Bernardino NF,NA,INTAKE,NA,NA,USFS,NA,560,BG,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLINN_1986,1986,III,San Diego,NA,FLINN,NA,NA,CDF,680,NA,B,Playing with fire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASSIST #42_1986,1986,III,San Diego,NA,ASSIST #42,NA,NA,USFS,NA,1200,B,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TECATE #18_1986,1986,III,San Diego,NA,TECATE #18,0008-01-19,0008-01-19,CDF,350,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PEAK_1986,1986,III,San Diego,NA,PEAK,NA,NA,CDF,1102,NA,TBG,Campfire,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MINE_1986,1986,III,San Diego,NA,MINE,0009-04-19,0009-05-19,CDF,950,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ASSIST #76_1986,1986,III,San Diego,NA,ASSIST #76,NA,NA,CITY,NA,400,B,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHIMNEY ROCK_1986,1986,III,San Luis Obispo,NA,CHIMNEY ROCK,0008-01-19,0008-02-19,CDF,450,NA,WBG,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SALMON_1986,1986,IV,Amador-El Dorado,NA,SALMON,0006-09-19,0006-10-19,CDF,738,NA,BG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LIGHTNING SERIES_1986,1986,IV,Fresno-Kings,NA,LIGHTNING SERIES,NA,NA,CDF,1570,NA,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEER_1986,1986,IV,Sierra NF,NA,DEER,0009-09-19,NA,USFS,NA,11860,BG,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YOSEMITE #1_1986,1986,IV,Yosemite NP,NA,YOSEMITE #1,NA,NA,NP,NA,650,NA,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
COULTERVILLE_1986,1986,IV,Madera-Mariposa,NA,COULTERVILLE,NA,NA,CDF,630,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BRYANT CANYON_1986,1986,IV,San Benito-Monterey,NA,BRYANT CANYON,NA,NA,CDF,2677,NA,BG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PANOCHE #2_1986,1986,IV,San Benito-Monterey,NA,PANOCHE #2,0006-02-19,0006-03-19,CDF,1650,NA,BGA,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DEER VALLEY RANCH_1986,1986,IV,San Benito-Monterey,NA,DEER VALLEY RANCH,NA,NA,CDF,960,NA,WA,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RIVER_1986,1986,IV,San Benito-Monterey,NA,RIVER,0011-06-19,0011-08-19,CDF,5375,NA,WBG,Debris,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
USFS ASSIST_1986,1986,IV,San Benito-Monterey,NA,USFS ASSIST,0011-06-19,0011-12-19,USFS,NA,2165,B,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DUTCH KERN #30_1986,1986,IV,Kern County,NA,DUTCH KERN #30,0007-11-19,0007-12-19,CC,NA,540,B,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOF ASSIST #1_1986,1986,IV,Toyiabe NF,NA,TOF ASSIST #1,NA,NA,USFS,NA,3500,TGB,"NA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HUNT_1986,1986,IV,Tuolumne-Calaveras,NA,HUNT,0009-11-19,0009-11-19,CDF,380,NA,TWB,Misc,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CASHBAUGH_1987,1987,NA,NA,NA,CASHBAUGH,0003-04-19,NA,CDF,602,NA,NA,Arson,0,NA,NA,Inyo,NA,NA,NA,NA,NA,0,NA
