Year,FIRE_NAME,EXPECT_MATCH_2,DPA,Ranger_unit,County,Start,Contained,CDF_acres_burned,Other_acres_burned,Region,Ranger_unit2,County2,County3,Veg_type,Cause,Destroyed_structures,Incident_number,National_forest,Fire_name2,DPA2,Damaged_structures,Firefighter_fatalities,Civilian_fatalities
1979,SAGE,,CDF,Riverside,NA,7/8/1979,7/9/1979,320,0,VI,NA,NA,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1979,SANTA ANA,1,CDF,San Bernardino,NA,9/16/1979,9/16/1979,1864,0,VI,NA,NA,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1979,SEIGLER,,CDF,Lake-Napa,NA,9/17/1979,9/18/1979,1029,0,I,NA,NA,NA,TWB,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1979,SIERRA,,CDF,San Bernardino,NA,6/9/1979,6/10/1979,300,0,VI,NA,NA,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1979,SIERRA SERIES,,CDF,San Bernardino,NA,6/27/1979,6/27/1979,1500,0,VI,NA,NA,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1979,SILVER SPUR,1,CDF,San Luis Obispo,NA,8/7/1979,8/7/1979,300,0,V,NA,NA,NA,B,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1979,SKINNER,,CDF,Riverside,NA,7/6/1979,7/6/1979,495,0,VI,NA,NA,NA,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA
1979,SPANISH RANCH,,CDF,San Luis Obispo,NA,8/15/1979,8/16/1979,930,0,V,NA,NA,NA,B,Equipment use,NA,NA,NA,NA,NA,NA,4,NA
1979,SQUAW RIDGE,,CDF,Tehama-Glenn,NA,7/13/1979,7/14/1979,9400,0,II,NA,NA,NA,GAP,Arson,NA,NA,NA,NA,NA,NA,NA,NA
1979,STATE OF CALIF.,,CDF,Fresno-Kings,NA,7/1/1979,7/1/1979,1600,280,IV,NA,NA,NA,G,Smoking,NA,NA,NA,NA,NA,NA,NA,NA
1979,STEELE,,CDF,Riverside,NA,7/9/1979,7/10/1979,300,0,VI,NA,NA,NA,B,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA
1979,SYLVANDALE,,CDF,Humboldt-Del Norte,NA,8/10/1979,8/11/1979,1616,0,I,NA,NA,NA,TWG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA
1979,TAR SPRINGS #2,1,CDF,San Luis Obispo,NA,9/15/1979,9/17/1979,1500,0,V,NA,NA,NA,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA
1979,TAYLOR,,CDF,Tulare,NA,6/20/1979,6/20/1979,2100,0,IV,NA,NA,NA,G,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA
1979,THOMASON #2,,CDF,San Benito-Monterey,NA,7/18/1979,7/18/1979,1580,0,V,NA,NA,NA,WGAP,Equipment use,1,NA,NA,NA,NA,NA,NA,NA
1979,TRUELSON,1,CDF,Riverside,NA,5/12/1979,5/13/1979,946,0,VI,NA,NA,NA,BG,Equipment use,NA,NA,NA,NA,NA,NA,NA,NA
1979,VALERIE,,CDF,Fresno-Kings,NA,6/13/1979,6/15/1979,5250,0,IV,NA,NA,NA,WBG,Smoking,1,NA,NA,NA,NA,NA,NA,NA
1979,VESPER,,CDF,San Diego,NA,6/9/1979,6/10/1979,450,0,VI,NA,NA,NA,BA,Campfire,NA,NA,NA,NA,NA,NA,NA,NA
1979,WAYSIDE,,CC,Los Angeles County,NA,7/18/1979,7/18/1979,0,2530,VI,NA,NA,NA,B,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,WHITEWATER,,CDF,Riverside,NA,6/9/1979,6/10/1979,1664,0,VI,NA,NA,NA,B,Misc,NA,NA,NA,NA,NA,NA,NA,NA
