FID,OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,Year,Region,Ranger_uni,Ranger_u_1,FIRE_NAM_1,Start,Contained,DPA,CDF_acres_,Other_acre,Veg_type,Cause_1,Destroyed_,Incident_n,National_f,County,County2,County3,Fire_name2,DPA2,Damaged_st,Firefighte,Civilian_f
1959,15226,1998,CA,USF,SQF,MANTER,0,7/19/1998 0:00,7/21/1998 0:00,9, ,15,11.4698,8,1,15,956.6888458,46416.78713,2000,Sierra,Tulare,NA,MANTER,NA,0008-09-20,USFS,NA,74439,N/A,Under investigation,15,NA,NA,NA,NA,NA,NA,NA,1,0,0
1960,15231,1984,CA,USF,PNF,SECOND,0,8/21/1984 0:00,8/22/1984 0:00,1, ,1100,1130.300049,8,1,114,10658.86037,4574155.326,1994,South,Cleveland NF,NA,SECOND,NA,NA,USFS,NA,4900,N/A,NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
1961,15247,1996,CA,USF,MDF,SAND,0,7/29/1996 0:00,7/29/1996 0:00,1, ,17,10.0837002,8,1,34,1161.179621,40807.42185,2012,NA,NA,NA,SAND,NA,NA,CDF,1428,NA,GB,Equipment use,1,KRN-22306,NA,Kern,NA,NA,NA,NA,0,0,0
1962,15248,1996,CA,USF,MDF,YOUNG,0,8/26/1996 0:00,9/2/1996 0:00,1, ,34,6.9486599,8,1,105,717.5210475,28120.22028,2017,NA,NA,NA,YOUNG,0008-07-20,NA,USFS,NA,21377,BT,Undetermined,0,SRF-863,NA,Del Norte,NA,NA,NA,NA,0,0,0
1963,15249,1996,CA,USF,MDF,LAKE,0,8/26/1996 0:00,9/2/1996 0:00,1, ,393,237.1439972,8,1,114,4995.87424,959687.4967,1988,I,Humboldt-Del Norte,NA,LAKE,NA,NA,CDF,550,NA,TG,Smoking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,15256,1987,CA,USF,INF,LAUREL,0,8/30/1987 0:00,9/4/1987 0:00,7, ,1465,1018.140015,8,1,89,9703.352524,4120281.726,1987,NA,NA,NA,LAUREL,NA,0009-02-19,USFS,NA,1465,NA,Lightning,0,NA,Inyo,Mono,NA,NA,NA,NA,NA,0,NA
1965,15259,1987,CA,USF,MNF,CARDENAS,0,9/1/1987 0:00,9/9/1987 0:00,1, ,310,223.3739929,8,1,44,3716.077483,903961.8895,1987,NA,NA,NA,CARDENAS,NA,0009-07-19,USFS,NA,300,NA,Lightning,0,NA,Mendocino,Mendocino,NA,NA,NA,NA,NA,0,NA
1966,15261,1987,CA,USF,MNF,HALL,0,8/31/1987 0:00,10/22/1987 0:00,1, ,100,81.9553986,8,1,49,2153.448887,331661.8349,1993,II,Tehama-Glenn,NA,HALL,0009-12-19,0009-12-19,LOCAL,NA,475,G,Debris,3,NA,NA,NA,NA,NA,NA,NA,2,0,0
1967,15267,1987,CA,USF,SQF,FAY,0,8/30/1987 0:00,9/5/1987 0:00,1, ,13260,12153.2998,8,1,190,51072.23019,49182661.58,2017,NA,NA,NA,FAY,0007-05-20,NA,CDF,496,NA,BGT,Misc,0,SKU-4779,NA,Siskiyou,NA,NA,NA,NA,0,0,0
1968,15272,1997,CA,USF,SQF,COFFEE,0,9/24/1997 0:00,9/27/1997 0:00,9, ,2470,2424.639893,8,1,111,19311.17066,9812151.319,1997,Sierra,Tulare/Sequoia NF,NA,COFFEE,NA,NA,CDF,2420,NA,B,Vehicle,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
1969,15275,1987,CA,USF,SRF,BLAKE,0,8/30/1987 0:00,9/5/1987 0:00,1, ,1895,3178.699951,8,1,47,15107.74836,12863754.36,1987,NA,NA,NA,BLAKE,NA,0009-03-19,USFS,NA,1895,NA,Lightning,0,NA,Six Rivers,Humboldt,NA,NA,NA,NA,NA,0,NA
1970,15277,1987,CA,USF,KNF,HOTELLING,0,8/30/1987 0:00,10/17/1987 0:00,1, ,16075,16646.90039,8,1,224,56522.66419,67367559.23,1987,NA,NA,NA,HOTELLING,NA,0010-03-19,USFS,NA,16075,NA,Lightning,1,NA,Klamath,Siskiyou,NA,NA,NA,NA,NA,0,NA
1971,15278,1987,CA,USF,KNF,NIELON,0,8/30/1987 0:00,9/21/1987 0:00,1, ,1490,1467.569946,8,1,284,11406.63578,5939060.222,1987,NA,NA,NA,NIELON,NA,NA,USFS,NA,1490,NA,Lightning,0,NA,Klamath,Siskiyou,NA,NA,NA,NA,NA,0,NA
1972,15280,1988,CA,USF,ENF,BEAR,0,12/14/1988 0:00,12/19/1988 0:00,5, ,1010,582.4279785,8,1,156,24711.11812,2357003.239,1987,NA,NA,NA,BEAR,NA,0009-12-19,USFS,NA,550,NA,Lightning,0,NA,Shasta-Trinity,Trinity,NA,NA,NA,NA,NA,0,NA
1973,15294,1988,CA,USF,SNF,LAKE,0,6/25/1988 0:00,9/30/1988 0:00,1, ,340,250.3339996,8,1,37,3852.580653,1013066.637,1988,I,Humboldt-Del Norte,NA,LAKE,NA,NA,CDF,550,NA,TG,Smoking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,15295,1988,CA,USF,SNF,RIDGE,0,7/23/1988 0:00,9/30/1988 0:00,1, ,70,63.3838997,8,1,140,2501.379111,256505.6254,2001,Coast,Mendocino,NA,RIDGE,NA,NA,CDF,610,NA,TGB,Equipment use,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
1975,15299,1988,CA,USF,SNF,EL PORTAL,0,8/1/1988 0:00,8/4/1988 0:00,9, ,185,150.9129944,8,1,187,4063.533468,610722.0871,2014,NA,NA,NA,EL PORTAL,NA,0008-04-20,NPS,NA,4689,B,Undetermined,2,YNP-83,NA,Mariposa,NA,NA,NA,NA,2,0,0
1976,15300,1988,CA,USF,SNF,FAWN,0,8/3/1988 0:00,8/25/1988 0:00,1, ,150,123.3769989,8,1,191,2605.030258,499287.8568,1992,II,Nevada-Yuba-Placer,NA,FAWN,NA,NA,CDF,350,NA,G,Electrical power,13,NA,NA,NA,NA,NA,NA,NA,0,0,0
1977,15301,1988,CA,USF,SNF,GARNET,0,8/29/1988 0:00,9/2/1988 0:00,1, ,1725,2244.899902,8,1,248,15694.97063,9084804.371,2002,South,San Diego,NA,GARNET,NA,NA,CDF,789,NA,B,Undetermined,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
1978,15303,1988,CA,USF,SQF,HAVILAH,0,8/11/1988 0:00,8/14/1988 0:00,3, ,1573,1489.369995,8,1,157,13329.12297,6027248.168,1988,IV,Kern County,NA,HAVILAH,0008-11-19,NA,CC,NA,1573,TB,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,15307,1988,CA,USF,SNF,OBELISK,0,7/24/1988 0:00,10/31/1988 0:00,1, ,8000,5420.899902,8,1,124,24330.99071,21937620.11,1988,IV,Fresno-Kings,NA,OBELISK,NA,NA,USFS,NA,6343,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,15312,1990,CA,USF,SHF,BOW,0,8/8/1990 0:00,8/14/1990 0:00,1, ,650,550.6900024,8,1,246,7410.088154,2228565.337,1990,II,Shasta-Trinity,NA,BOW,0008-09-19,NA,CDF,650,NA,T,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,15315,1990,CA,USF,PNF,WALKER,0,8/6/1990 0:00,8/8/1990 0:00,1, ,1100,1495.729981,8,1,79,13122.80133,6053020.47,2008,NA,Sonoma-Lake-Napa,NA,WALKER,NA,NA,CDF,15000,NA,T,Human,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1982,15318,1990,CA,USF,PNF,WILDCAT,0,11/10/1990 0:00,11/12/1990 0:00,3, ,15,25.2915001,8,1,203,1293.966718,102350.8657,1992,III,San Diego,NA,WILDCAT,NA,NA,BIA,1065,800,B,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
1983,15319,1990,CA,USF,SNF,DEVILS,0,5/3/1990 0:00,5/5/1990 0:00,5, ,50,63.5617981,8,1,9,1972.724653,257225.6665,1994,South,San Bernardino,NA,DEVILS,0007-03-19,0007-06-19,USFS,1400,10838,B,Lightning,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1984,15327,1990,CA,USF,MDF,LONG,0,4/6/1990 0:00,4/10/1990 0:00,1, ,11,7.1508198,8,1,4,695.2500634,28938.35382,2008,NA,Butte,NA,LONG,NA,NA,CDF,420,NA,T,Lightning,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1985,15328,1990,CA,USF,KNF,BUTTE,0,6/17/1990 0:00,6/21/1990 0:00,1, ,88,72.2216034,8,1,20,2545.268584,292270.3604,2015,NA,NA,NA,BUTTE,0009-09-20,NA,CDF,70868,NA,TBG,Electrical power,965,AEU-24918,NA,Amador,NA,NA,NA,NA,0,0,2
1986,15332,1991,CA,USF,SHF,ROCK,0,9/18/1991 0:00,9/22/1991 0:00,9, ,1290,1109.349976,8,1,237,10006.31216,4489395.335,1989,II,Plumas NF,NA,ROCK,0007-08-19,0007-12-19,USFS,NA,3500,T,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,15334,1992,CA,USF,ENF,SALT,0,2/3/1992 0:00,2/4/1992 0:00,9, ,58,52.8367996,8,1,1,1667.039976,213822.8205,2011,NA,NA,NA,SALT,0012-01-20,0001-04-20,USFS,NA,342,G,Equipment Use,0,ENF-0038070,NA,El Dorado,NA,NA,NA,NA,0,0,0
1988,15335,1999,CA,USF,ANF,BRIDGE,0,8/29/1999 0:00,9/7/1999 0:00,7, ,7200,7233.529785,8,1,224,38182.09203,29273060.99,1988,IV,Tuolumne-Calaveras,NA,BRIDGE,NA,NA,CDF,6778,NA,TWBG,Arson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,15338,1991,CA,USF,MNF,BEAR,0,1/28/1991 0:00,2/1/1991 0:00,5, ,275,1082.119995,8,1,5,8732.144768,4379187.103,1987,NA,NA,NA,BEAR,NA,0009-12-19,USFS,NA,550,NA,Lightning,0,NA,Shasta-Trinity,Trinity,NA,NA,NA,NA,NA,0,NA
1990,15339,1991,CA,USF,SQF,LONG,0,8/1/1991 0:00,,1, ,102,106.4850006,8,1,76,4087.915456,430930.4155,2008,NA,Butte,NA,LONG,NA,NA,CDF,420,NA,T,Lightning,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
1991,15342,1991,CA,USF,SRF,LAKE,0,10/6/1991 0:00,10/6/1991 0:00,7, ,10,9.95788,8,1,69,712.5239721,40298.10292,1988,I,Humboldt-Del Norte,NA,LAKE,NA,NA,CDF,550,NA,TG,Smoking,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,15345,1992,CA,USF,SQF,PONDEROSA,0,5/14/1992 0:00,5/14/1992 0:00,7, ,23,33.9464989,8,1,17,1621.215051,137376.5089,1997,Cascade,Tehama-Glenn,NA,PONDEROSA,NA,NA,CDF,1100,NA,B,Arson,0,NA,NA,NA,NA,NA,NA,NA,0,0,0
1993,15347,1992,CA,USF,SQF,RODEO,0,6/27/1992 0:00,,7, ,13,13.0885,8,1,68,919.0375393,52967.20176,2008,NA,Tulare,NA,RODEO,NA,NA,CDF,500,NA,G,Unidentified,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0
