FID,OBJECTID,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,EXPECT_MAT,Year_rb,Fire_me_rb,Expect_m_1,Region_rb,DPA_rb,Ranger_uni,Ranger_u_1,Start_rb,Contained_,CDF_acres_,Other_acre,Total_acre,Veg_type_r,Cause_rb,Destroyed_,Incident_n,tiol_fores,County_rb,County2_rb,County3_rb,Fire_me2_r,DPA2_rb,Damaged_st,Firefighte,Civilian_f,Total_dama,YEAR1,WUI_area
720,15153,CA,USF,ANF,MORGAN,00000000,2000-07-07,2000-07-08,8, ,250,198.6139984,8,1,00000073,5772.005166,803763.474,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2000,73.96672
721,15154,CA,USF,PNF,STORRIE,00000000,2000-08-17,2000-09-27,6, ,55261,56076.30078,8,1,00000057,91499.47595,226932859.2,0,2000,STORRIE, ,Cascade,USFS,Plumas, ,8/17/2000,9/9/2000,0,55261,55261, ,Railroad,0, , , , , , , , ,0,0,0,2000,150.35304
722,15180,CA,USF,CNF,PARADISE,00000000,2003-10-26,2003-11-04,7, ,56427,56545.69922,8,1,00000089,125624.6286,228832317,0,2003,PARADISE, ,South,BIA,San Diego, ,10/26/2003,11/6/2003,0,56700,56700,B,Equipment use,223, , , , , , , ,10,0,2,233,2003,9913.49311
723,15181,CA,USF,CNF,CEDAR,00000000,2003-10-25,2003-11-05,2, ,280278,270686,8,1,00000087,362038.1761,1095427361,0,2003,CEDAR, ,South,CDF,San Diego, ,10/25/2003,11/4/2003,143734,0,143734,GTWAB,Misc,4847, , , , , , , , ,1,13,4847,2003,44050.58581
724,15225,CA,USF,SQF,COFFEE,00000000,1998-07-24,1998-07-25,9, ,12,8.897649765,8,1,00000023,752.8361082,36007.51036,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1998,0.22118
725,15272,CA,USF,SQF,COFFEE,00000000,1997-09-24,1997-09-27,9, ,2470,2424.639893,8,1,00000111,19311.17066,9812151.319,0,1997,COFFEE, ,Sierra,CDF,Tulare/Sequoia NF, ,9/24/1997,9/24/1997,2420,0,2420,B,Vehicle,0, , , , , , , ,0,0,0,0,1997,2.90233
726,15336,CA,USF,ANF,FRANKISH,00000000,1999-10-22,1999-10-23,7, ,25,51.0591011,8,1,00000266,2115.751057,206628.8687,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1999,45.1612
727,15356,CA,CDF,LNU,ATLAS,00008290,2006-10-25,2006-10-26,2,DURING NORTH WINDS,80,71.22920227,1,1,00000568,2802.613193,288254.1945,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2006,71.22916
728,15359,CA,CDF,LNU,SKY VALLEY,00004364,2006-06-30,2006-07-01,7,OFF LAKE HERMAN,40,226.2299957,6,1,00000213,3798.693905,915519.6577,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2006,0.00038
729,15360,CA,LRA,LNU,FAIRFIELD,00004514,2006-07-04,2006-07-04,9,FIREWORKS FIRE IN CITY OF FAIRFIEDL OPEN SPACE,40,55.48040009,6,1,00000232,1818.882088,224521.3277,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2006,0.45053
730,15363,CA,CDF,LNU,MURPHY,00005398,2006-07-26,2006-07-26,10, ,133,125.3030014,2,1,00000324,3433.692101,507084.4849,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2006,125.30331
731,15369,CA,CDF,LNU,29,00005007,2006-07-17,2006-07-21,10,SERIES OF FIRES,550,344.2799988,2,1,00000284,7058.823647,1393251.973,0,2006,29, ,Coast,CDF,Sonoma-Lake-pa, ,7/17/2006,7/21/2006,550,0,550,TWB,Vehicle,3, , , , , , , , ,0,0,3,2006,9.18993
732,15375,CA,CDF,SHU,HAYFORK,00008074,2006-09-22,2006-09-22,7,Unknown cost,12,22.64719963,6,1,00000451,1236.906715,91650.06955,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2006,22.64723
733,15376,CA,CDF,SHU,JUNCTION,00006152,2006-07-29,2006-07-31,14,Unknown cost,3150,3129.75,1,1,00000310,17338.33026,12665633.84,0,2006,JUNCTION, ,Cascade,CDF,Shasta-Trinity, ,7/29/2006,7/29/2006,3126,0,3126,W,Misc,1, , , , , , , , ,0,0,1,2006,218.55567
734,15390,CA,CDF,TCU,JENSON,00006360,2006-07-19,2006-07-20,2,Costs derived from ARC,135,150.3359985,1,1,00000500,4114.142451,608387.4881,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2006,16.55163
735,15392,CA,CDF,TCU,BIEDERMAN,00006893,2006-08-02,2006-08-02,2,No cost info available for this fire,91,86.88700104,1,1,00000549,3539.535591,351619.208,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2006,26.76102
736,15394,CA,USF,CNF,SIERRA,00000300,2006-02-06,2006-02-22,18, ,10584,10592,7,1,00000008,32272.72447,42864205.32,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2006,582.44249
737,15397,CA,LRA,VNC,SEQUOIA FIRE,60004941,2006-12-08,2006-12-08,14, ,345,345.3150024,2,1,60004941,4547.593326,1397441.503,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2006,215.84628
738,15398,CA,CDF,VNC,SHEKELL,07003565,2006-12-03,2006-12-09,14, ,13600,13618.09961,2,1,07003565,52927.46387,55110452.27,0,2006,SHEKELL, ,South,CDF,Ventura, ,12/3/2006,12/5/2006,13600,0,13600,G,Undetermined,7, , , , , , , ,11,0,0,18,2006,3760.76118
739,15399,CA,LRA,VNC,SHERWOOD,06060649,2006-07-06,2006-07-08,14, ,168,167.9570007,2,1,06060649,3971.659568,679697.3381,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2006,2.58098
740,15412,CA,USF,CNF,HORSE,00001442,2006-07-23,2006-07-29,4,part of San Rafael Complex,16677,16677.59961,7,1,00000055,52543.67097,67491912.76,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2006,2.49675
741,15415,CA,USF,SQF,BROKE,00000000,2006-08-17,2006-08-17,9, ,9,15.32830048,1,1,00000073,1654.57994,62031.57608,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2006,13.04443
742,15419,CA,CDF,RRU,LOOKOUT 2,00096476,2006-11-12,2006-11-13,9, ,290,220.227005,8,1,00000092,5361.314426,891228.3177,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,2006,74.08339
