FID,OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,OBJECTID_1,EXPECT_MAT,Year_rb,Fire_me_rb,Expect_m_1,Region_rb,DPA_rb,Ranger_uni,Ranger_u_1,Start_rb,Contained_,CDF_acres_,Other_acre,Total_acre,Veg_type_r,Cause_rb,Destroyed_,Incident_n,tiol_fores,County_rb,County2_rb,County3_rb,Fire_me2_r,DPA2_rb,Damaged_st,Firefighte,Civilian_f,Total_dama,Damaged__1
1155,6384,1979,CA,USF,CNF, ,00000000,,,14, ,0,112.2929993,0,1,00000184,3180.350954,454435.4426,6384,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1156,6385,1979,CA,USF,CNF, ,00000000,,,9, ,0,187.7779999,0,1,00000208,4667.275355,759910.1247,6385,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1157,6386,1979,CA,USF,CNF, ,00000000,,,14, ,0,479.9679871,0,1,00000197,7208.14021,1942361.831,6386,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1158,6387,1979,CA,USF,CNF, ,00000000,,,9, ,0,37.74219894,0,1,00000178,1489.766287,152737.1417,6387,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1159,6388,1979,CA,USF,CNF, ,00000000,,,14, ,0,229.3869934,0,1,00000199,3932.575058,928294.8597,6388,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1160,6389,1979,CA,USF,CNF, ,00000000,,,9, ,0,132.1940002,0,1,00000170,3599.081183,534969.7721,6389,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1161,6390,1979,CA,USF,CNF, ,00000000,,,9, ,0,62.9231987,0,1,00000196,2529.483944,254641.0692,6390,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1162,6391,1979,CA,USF,CNF, ,00000000,,,9, ,0,50.97850037,0,1,00000190,1991.018948,206302.605,6391,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1163,6392,1979,CA,USF,CNF, ,00000000,,,9, ,0,211.6289978,0,1,00000214,5461.362479,856433.3893,6392,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1250,6867,1979,CA,CDF,NEU,ANIMAL,00000810,1979-06-07,,14, ,0,763.1469727,0,1,00000307,9276.188298,3088347.304,6867,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1371,7334,1979,CA,CDF,RRU, ,00000000,,,14, ,0,128.901001,0,1,00000000,2652.045137,521642.0218,7334,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1372,7335,1979,CA,USF,BDF, ,00000000,,,14, ,0,33.83560181,0,1,00000000,1500.195078,136927.8778,7335,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1373,7336,1979,CA,CDF,BDU,SIERRA,00003173,1979-06-09,,14, ,0,242.8390045,0,1,00000359,3970.50205,982735.9935,7336,0,1979,SIERRA, ,VI,CDF,San Berrdino, , , ,300,0,300,B,Arson,0, , , , , , , , ,0,0,0,0
1374,7337,1979,CA,USF,SHF, ,00000000,,,14, ,0,71.66870117,0,1,00000012,2576.063126,290032.8504,7337,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1375,7338,1979,CA,USF,SHF,RIM,00000000,1979-05-15,,9, ,0,255.3730011,0,1,00000003,4340.856849,1033456.699,7338,0,1979,RIM, ,II,CDF,Shasta-Trinity, , , ,310,0,310,T,Debris,0, , , , , , , , ,0,0,0,0
1376,7339,1979,CA,CDF,TGU,LITTLE ANTELOPE,00000377,1979-06-07,,14, ,0,2735.100098,0,1,00000059,15107.31783,11068554.16,7339,0,1979,LITTLE ANTELOPE, ,II,CDF,Tehama-Glenn, , , ,2550,0,2550,BG,Misc,0, , , , , , , , ,0,0,0,0
1377,7340,1979,CA,USF,PNF, ,00000000,1979-07-19,,1, ,0,12.54080009,0,1,00000054,1054.357824,50750.67218,7340,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1378,7341,1979,CA,USF,PNF, ,00000000,1979-06-13,,9, ,0,297.2330017,0,1,00000024,6734.687115,1202858.835,7341,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1379,7342,1979,CA,USF,STF, ,00000000,,,1, ,0,227.878006,0,1,00000101,5306.473361,922191.3279,7342,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1487,7919,1979,CA,CCO,LAC, ,00000000,1979-06-14,,14, ,0,10.34920025,0,1,00000000,861.503212,41881.62497,7919,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1488,7920,1979,CA,CCO,LAC, ,00000000,1979-09-04,,14, ,0,4.632760048,0,1,00000000,542.1020355,18748.12188,7920,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1489,7921,1979,CA,CCO,LAC, ,00000000,1979-07-15,,14, ,0,4.060279846,0,1,00000000,624.5728521,16431.36518,7921,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1490,7922,1979,CA,CCO,LAC, ,00000000,1979-07-31,,14, ,0,117.7580032,0,1,00000000,3906.196604,476549.6649,7922,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
1491,7923,1979,CA,CCO,LAC, ,00000000,1979-10-02,,14, ,0,41.24039841,0,1,00000000,1579.77037,166894.1427,7923,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,0
