FID,OBJECTID,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,COMMENTS,REPORT_AC,GIS_ACRES,C_METHOD,OBJECTIVE,FIRE_NUM,Shape_Leng,Shape_Area,EXPECT_MAT,Year_rb,Fire_me_rb,Expect_m_1,Region_rb,DPA_rb,Ranger_uni,Ranger_u_1,Start_rb,Contained_,CDF_acres_,Other_acre,Total_acre,Veg_type_r,Cause_rb,Destroyed_,Incident_n,tiol_fores,County_rb,County2_rb,County3_rb,Fire_me2_r,DPA2_rb,Damaged_st,Firefighte,Civilian_f,Total_dama,YEAR1,WUI_area
97,5872,CA,CDF,LNU,POPE CANYON,00001590,1983-07-10,,2, ,0,1682.199951,0,1,00000181,12092.29462,6807622.615,0,1983,POPE CANYON, ,I,CDF,Lake-pa, , , ,1200,0,1200,B,Equipment use,0, , , , , , , , ,0,0,0,1983,2.65598
98,5873,CA,CDF,BTU,SKYWAY #3,00002227,1983-07-14,,14, ,0,603.9429932,0,1,00000259,11251.87197,2444070.612,0,1983,SKYWAY #3, ,II,CDF,Butte, , , ,502,0,502,B,Smoking,0, , , , , , , , ,0,0,0,1983,311.17286
99,5875,CA,CDF,SCU,PORT COSTA,00000957,1983-08-07,,14, ,0,319.3640137,0,1,00000000,7081.417898,1292418.65,0,1983,PORT COSTA SERIES, ,V,CDF,Santa Clara, , , ,325,0,325,WBG,Arson,10, , , , , , , , ,0,0,10,1983,19.36929
100,5881,CA,CDF,MVU,ASSIST #28,00000000,1983-08-14,,14, ,0,679.8209839,0,1,000095.1,7432.407456,2751136.369,1,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1983,10.10394
101,5884,CA,CDF,MVU,ASSIST #38,00001577,1983-09-13,,14, ,0,351.3200073,0,1,00000582,4389.656917,1421740.868,1,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1983,98.14887
102,5887,CA,USF,BDF,BANNING,00000000,1983-07-23,1983-07-26,7, ,2597,3136.850098,8,1,00000061,20049.6037,12694364.98,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1983,275.32501
103,5888,CA,USF,BDF,SNOW CREEK,00000000,1983-05-25,1983-05-28,2, ,4075,3969.790039,8,1,00000010,21554.10727,16065182.69,0,1983,SNOW CREEK ASSIST, ,VI,CITY,Riverside, , , ,75,4000,4075,B, ,0, , , , , , , , ,0,0,0,1983,17.78948
104,5890,CA,USF,BDF, ,00000000,,,14, ,0,9.535070419,0,1,00000000,845.2896861,38587.06714,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1983,9.53507
105,5900,CA,CCO,SBC,EAGLE CANYON,00000000,1979-09-18,,9, ,0,3764.52002,0,1,00000063,23787.15583,15234482.8,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1979,482.65769
106,5903,CA,CCO,SBC,GAVIOTA,00000000,1981-07-11,,7, ,0,90.12480164,0,1,00000000,3348.676442,364722.1655,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1981,23.13798
107,5905,CA,CCO,SBC,CAT,00000000,1984-05-25,,14, ,0,1011.5,0,1,00000000,7813.987688,4093399.384,0,0, , , , , , , , ,0,0,0, , ,0, , , , , , , , ,0,0,0,1984,13.6649
